name,email,industry,message,label,rule_label,ai_label,final_label
Diana Brown,diana.brown941@example.com,finance,just browsing your website,Cold,Cold,Cold,Cold
Bob Miller,bob.miller942@example.com,marketing,maybe later still evaluating options,Warm,Cold,Warm,Warm
Charlie Brown,charlie.brown943@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Charlie Miller,charlie.miller944@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Frank Williams,frank.williams945@example.com,education,looking to hire your services immediately,Hot,Warm,Hot,Hot
Frank Garcia,frank.garcia946@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Brown,bob.brown947@example.com,tech,can you share pricing information,Warm,Warm,Warm,Warm
Bob Smith,bob.smith948@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Grace Taylor,grace.taylor949@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Johnson,charlie.johnson950@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Diana Garcia,diana.garcia951@example.com,marketing,looking to hire your services immediately,Hot,Warm,Hot,Hot
Jack Johnson,jack.johnson952@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Wilson,bob.wilson953@example.com,marketing,i am just curious about your offerings,Cold,Cold,Cold,Cold
Eve Garcia,eve.garcia954@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Garcia,bob.garcia955@example.com,retail,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Charlie Garcia,charlie.garcia956@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Davis,alice.davis957@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Eve Johnson,eve.johnson958@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Hank Williams,hank.williams959@example.com,marketing,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Johnson,alice.johnson960@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Wilson,alice.wilson961@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Grace Davis,grace.davis962@example.com,education,can you share pricing information,Warm,Warm,Warm,Warm
Ivy Johnson,ivy.johnson963@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Jack Williams,jack.williams964@example.com,education,no immediate plans to buy,Cold,Hot,Cold,Hot
Jack Davis,jack.davis965@example.com,marketing,could you send me a brochure,Warm,Cold,Warm,Warm
Ivy Taylor,ivy.taylor966@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Ivy Davis,ivy.davis967@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Brown,ivy.brown968@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Frank Jones,frank.jones969@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Alice Wilson,alice.wilson970@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Alice Davis,alice.davis971@example.com,consulting,im interested but need more details,Warm,Warm,Warm,Warm
Alice Williams,alice.williams972@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Jack Jones,jack.jones973@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Bob Garcia,bob.garcia974@example.com,marketing,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Diana Smith,diana.smith975@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Grace Taylor,grace.taylor976@example.com,consulting,im interested but need more details,Warm,Warm,Warm,Warm
Diana Garcia,diana.garcia977@example.com,healthcare,could you send me a brochure,Warm,Cold,Warm,Warm
Grace Miller,grace.miller978@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Hank Jones,hank.jones979@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Bob Davis,bob.davis980@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Wilson,ivy.wilson981@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Davis,charlie.davis982@example.com,finance,looking for information about your services,Warm,Warm,Warm,Warm
Grace Wilson,grace.wilson983@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Grace Smith,grace.smith984@example.com,finance,just browsing your website,Cold,Cold,Cold,Cold
Ivy Johnson,ivy.johnson985@example.com,consulting,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Ivy Williams,ivy.williams986@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Jack Miller,jack.miller987@example.com,retail,maybe later still evaluating options,Warm,Cold,Warm,Warm
Eve Smith,eve.smith988@example.com,retail,can you share pricing information,Warm,Warm,Warm,Warm
Grace Johnson,grace.johnson989@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Hank Jones,hank.jones990@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Grace Wilson,grace.wilson991@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Eve Jones,eve.jones992@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Frank Davis,frank.davis993@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Charlie Smith,charlie.smith994@example.com,consulting,looking to hire your services immediately,Hot,Warm,Hot,Hot
Frank Johnson,frank.johnson995@example.com,tech,can you share pricing information,Warm,Warm,Warm,Warm
Alice Wilson,alice.wilson996@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Ivy Miller,ivy.miller997@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Charlie Jones,charlie.jones998@example.com,marketing,im interested but need more details,Warm,Warm,Warm,Warm
Hank Taylor,hank.taylor999@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Jack Wilson,jack.wilson1000@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Eve Williams,eve.williams1001@example.com,marketing,i am just curious about your offerings,Cold,Cold,Cold,Cold
Ivy Jones,ivy.jones1002@example.com,consulting,looking for information about your services,Warm,Warm,Warm,Warm
Grace Brown,grace.brown1003@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Williams,bob.williams1004@example.com,consulting,maybe later still evaluating options,Warm,Cold,Warm,Warm
Bob Williams,bob.williams1005@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Frank Taylor,frank.taylor1006@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Hank Garcia,hank.garcia1007@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Garcia,bob.garcia1008@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Smith,ivy.smith1009@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Smith,ivy.smith1010@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Jack Smith,jack.smith1011@example.com,marketing,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Eve Davis,eve.davis1012@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Charlie Williams,charlie.williams1013@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Alice Wilson,alice.wilson1014@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Diana Jones,diana.jones1015@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Diana Johnson,diana.johnson1016@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Eve Davis,eve.davis1017@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Charlie Brown,charlie.brown1018@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Johnson,frank.johnson1019@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Grace Brown,grace.brown1020@example.com,finance,im interested but need more details,Warm,Warm,Warm,Warm
Bob Davis,bob.davis1021@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Grace Wilson,grace.wilson1022@example.com,education,no immediate plans to buy,Cold,Hot,Cold,Hot
Grace Wilson,grace.wilson1023@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Alice Jones,alice.jones1024@example.com,finance,we are ready to purchase now,Hot,Hot,Hot,Hot
Grace Jones,grace.jones1025@example.com,education,im interested but need more details,Warm,Warm,Warm,Warm
Ivy Jones,ivy.jones1026@example.com,healthcare,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Alice Jones,alice.jones1027@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Jack Davis,jack.davis1028@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Jack Brown,jack.brown1029@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Eve Wilson,eve.wilson1030@example.com,marketing,looking for information about your services,Warm,Warm,Warm,Warm
Diana Garcia,diana.garcia1031@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Brown,frank.brown1032@example.com,retail,maybe later still evaluating options,Warm,Cold,Warm,Warm
Charlie Brown,charlie.brown1033@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Wilson,bob.wilson1034@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Grace Brown,grace.brown1035@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Frank Brown,frank.brown1036@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Eve Smith,eve.smith1037@example.com,retail,looking to hire your services immediately,Hot,Warm,Hot,Hot
Diana Garcia,diana.garcia1038@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Davis,hank.davis1039@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Jack Wilson,jack.wilson1040@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Jones,alice.jones1041@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Alice Williams,alice.williams1042@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Diana Davis,diana.davis1043@example.com,retail,i need a quote for our project,Hot,Cold,Hot,Hot
Jack Smith,jack.smith1044@example.com,retail,looking to hire your services immediately,Hot,Warm,Hot,Hot
Diana Davis,diana.davis1045@example.com,tech,we are ready to purchase now,Hot,Hot,Hot,Hot
Bob Johnson,bob.johnson1046@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Smith,charlie.smith1047@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Hank Williams,hank.williams1048@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Charlie Wilson,charlie.wilson1049@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Eve Miller,eve.miller1050@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Hank Jones,hank.jones1051@example.com,retail,looking to hire your services immediately,Hot,Warm,Hot,Hot
Bob Jones,bob.jones1052@example.com,marketing,maybe later still evaluating options,Warm,Cold,Warm,Warm
Charlie Taylor,charlie.taylor1053@example.com,finance,looking to hire your services immediately,Hot,Warm,Hot,Hot
Jack Johnson,jack.johnson1054@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Charlie Taylor,charlie.taylor1055@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Jones,bob.jones1056@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Hank Johnson,hank.johnson1057@example.com,tech,im interested but need more details,Warm,Warm,Warm,Warm
Bob Smith,bob.smith1058@example.com,tech,looking for information about your services,Warm,Warm,Warm,Warm
Grace Miller,grace.miller1059@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Jack Jones,jack.jones1060@example.com,finance,we are ready to purchase now,Hot,Hot,Hot,Hot
Ivy Williams,ivy.williams1061@example.com,marketing,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Eve Garcia,eve.garcia1062@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Grace Johnson,grace.johnson1063@example.com,education,no immediate plans to buy,Cold,Hot,Cold,Hot
Eve Miller,eve.miller1064@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Jones,ivy.jones1065@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Frank Wilson,frank.wilson1066@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Ivy Miller,ivy.miller1067@example.com,marketing,please send me the proposal asap,Hot,Hot,Hot,Hot
Jack Jones,jack.jones1068@example.com,finance,looking for information about your services,Warm,Warm,Warm,Warm
Jack Smith,jack.smith1069@example.com,consulting,looking to hire your services immediately,Hot,Warm,Hot,Hot
Frank Taylor,frank.taylor1070@example.com,marketing,looking for information about your services,Warm,Warm,Warm,Warm
Jack Miller,jack.miller1071@example.com,consulting,we are ready to purchase now,Hot,Hot,Hot,Hot
Eve Miller,eve.miller1072@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Bob Wilson,bob.wilson1073@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Bob Smith,bob.smith1074@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Garcia,alice.garcia1075@example.com,education,no immediate plans to buy,Cold,Hot,Cold,Hot
Jack Wilson,jack.wilson1076@example.com,education,maybe later still evaluating options,Warm,Warm,Warm,Warm
Frank Johnson,frank.johnson1077@example.com,healthcare,can you share pricing information,Warm,Warm,Warm,Warm
Hank Taylor,hank.taylor1078@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Charlie Williams,charlie.williams1079@example.com,education,i am just curious about your offerings,Cold,Warm,Cold,Warm
Bob Smith,bob.smith1080@example.com,marketing,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Johnson,bob.johnson1081@example.com,healthcare,looking to hire your services immediately,Hot,Warm,Hot,Hot
Grace Smith,grace.smith1082@example.com,marketing,maybe later still evaluating options,Warm,Cold,Warm,Warm
Jack Brown,jack.brown1083@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Taylor,alice.taylor1084@example.com,retail,looking for information about your services,Warm,Warm,Warm,Warm
Alice Jones,alice.jones1085@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Hank Garcia,hank.garcia1086@example.com,tech,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Charlie Garcia,charlie.garcia1087@example.com,healthcare,im interested but need more details,Warm,Warm,Warm,Warm
Hank Garcia,hank.garcia1088@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Garcia,frank.garcia1089@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Charlie Brown,charlie.brown1090@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Wilson,alice.wilson1091@example.com,education,can you share pricing information,Warm,Warm,Warm,Warm
Diana Davis,diana.davis1092@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Grace Jones,grace.jones1093@example.com,marketing,im interested but need more details,Warm,Warm,Warm,Warm
Bob Brown,bob.brown1094@example.com,education,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Wilson,frank.wilson1095@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Smith,ivy.smith1096@example.com,retail,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Ivy Brown,ivy.brown1097@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Williams,bob.williams1098@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Frank Brown,frank.brown1099@example.com,consulting,im interested but need more details,Warm,Warm,Warm,Warm
Bob Miller,bob.miller1100@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Charlie Smith,charlie.smith1101@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Johnson,alice.johnson1102@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Frank Wilson,frank.wilson1103@example.com,marketing,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Brown,hank.brown1104@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Grace Williams,grace.williams1105@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Hank Jones,hank.jones1106@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Jack Smith,jack.smith1107@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Bob Garcia,bob.garcia1108@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Hank Wilson,hank.wilson1109@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Bob Smith,bob.smith1110@example.com,consulting,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Brown,charlie.brown1111@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Hank Brown,hank.brown1112@example.com,tech,can you share pricing information,Warm,Warm,Warm,Warm
Charlie Johnson,charlie.johnson1113@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Alice Wilson,alice.wilson1114@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Davis,frank.davis1115@example.com,finance,we are ready to purchase now,Hot,Hot,Hot,Hot
Jack Taylor,jack.taylor1116@example.com,healthcare,looking for information about your services,Warm,Warm,Warm,Warm
Frank Williams,frank.williams1117@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Diana Johnson,diana.johnson1118@example.com,marketing,looking for information about your services,Warm,Warm,Warm,Warm
Ivy Garcia,ivy.garcia1119@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Frank Miller,frank.miller1120@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Davis,bob.davis1121@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Eve Garcia,eve.garcia1122@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Brown,alice.brown1123@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Hank Miller,hank.miller1124@example.com,marketing,looking for information about your services,Warm,Warm,Warm,Warm
Frank Garcia,frank.garcia1125@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Wilson,ivy.wilson1126@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Jack Wilson,jack.wilson1127@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Grace Johnson,grace.johnson1128@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Ivy Williams,ivy.williams1129@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Frank Davis,frank.davis1130@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Jack Williams,jack.williams1131@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Jack Johnson,jack.johnson1132@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Jack Wilson,jack.wilson1133@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Diana Wilson,diana.wilson1134@example.com,education,i am just curious about your offerings,Cold,Warm,Cold,Warm
Bob Smith,bob.smith1135@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Jack Jones,jack.jones1136@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Brown,charlie.brown1137@example.com,retail,looking for information about your services,Warm,Warm,Warm,Warm
Grace Johnson,grace.johnson1138@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Hank Wilson,hank.wilson1139@example.com,healthcare,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Alice Williams,alice.williams1140@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Grace Johnson,grace.johnson1141@example.com,retail,please send me the proposal asap,Hot,Hot,Hot,Hot
Jack Taylor,jack.taylor1142@example.com,marketing,can you share pricing information,Warm,Warm,Warm,Warm
Jack Wilson,jack.wilson1143@example.com,consulting,can you share pricing information,Warm,Warm,Warm,Warm
Grace Miller,grace.miller1144@example.com,marketing,please send me the proposal asap,Hot,Hot,Hot,Hot
Charlie Taylor,charlie.taylor1145@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Grace Miller,grace.miller1146@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Charlie Taylor,charlie.taylor1147@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Diana Brown,diana.brown1148@example.com,finance,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Eve Williams,eve.williams1149@example.com,tech,can you share pricing information,Warm,Warm,Warm,Warm
Charlie Miller,charlie.miller1150@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Ivy Johnson,ivy.johnson1151@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Diana Taylor,diana.taylor1152@example.com,education,looking to hire your services immediately,Hot,Warm,Hot,Hot
Bob Jones,bob.jones1153@example.com,retail,please send me the proposal asap,Hot,Hot,Hot,Hot
Alice Williams,alice.williams1154@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Jack Garcia,jack.garcia1155@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Brown,alice.brown1156@example.com,retail,i need a quote for our project,Hot,Cold,Hot,Hot
Bob Johnson,bob.johnson1157@example.com,tech,looking for information about your services,Warm,Warm,Warm,Warm
Bob Brown,bob.brown1158@example.com,healthcare,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Charlie Taylor,charlie.taylor1159@example.com,tech,looking for information about your services,Warm,Warm,Warm,Warm
Charlie Wilson,charlie.wilson1160@example.com,healthcare,looking for information about your services,Warm,Warm,Warm,Warm
Bob Davis,bob.davis1161@example.com,marketing,im interested but need more details,Warm,Warm,Warm,Warm
Alice Taylor,alice.taylor1162@example.com,retail,looking for information about your services,Warm,Warm,Warm,Warm
Ivy Brown,ivy.brown1163@example.com,consulting,looking for information about your services,Warm,Warm,Warm,Warm
Eve Smith,eve.smith1164@example.com,marketing,looking for information about your services,Warm,Warm,Warm,Warm
Alice Miller,alice.miller1165@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
Hank Brown,hank.brown1166@example.com,consulting,looking for information about your services,Warm,Warm,Warm,Warm
Charlie Davis,charlie.davis1167@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Ivy Davis,ivy.davis1168@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Jack Smith,jack.smith1169@example.com,tech,i need a quote for our project,Hot,Cold,Hot,Hot
Bob Garcia,bob.garcia1170@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Grace Jones,grace.jones1171@example.com,marketing,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Charlie Davis,charlie.davis1172@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Hank Williams,hank.williams1173@example.com,consulting,could you send me a brochure,Warm,Cold,Warm,Warm
Jack Johnson,jack.johnson1174@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Alice Taylor,alice.taylor1175@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Frank Smith,frank.smith1176@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Grace Miller,grace.miller1177@example.com,finance,looking to hire your services immediately,Hot,Warm,Hot,Hot
Bob Johnson,bob.johnson1178@example.com,marketing,could you send me a brochure,Warm,Cold,Warm,Warm
Jack Smith,jack.smith1179@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Grace Johnson,grace.johnson1180@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Alice Wilson,alice.wilson1181@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Jack Miller,jack.miller1182@example.com,marketing,we are ready to purchase now,Hot,Hot,Hot,Hot
Frank Wilson,frank.wilson1183@example.com,retail,looking for information about your services,Warm,Warm,Warm,Warm
Hank Wilson,hank.wilson1184@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Diana Wilson,diana.wilson1185@example.com,healthcare,could you send me a brochure,Warm,Cold,Warm,Warm
Bob Taylor,bob.taylor1186@example.com,finance,we are ready to purchase now,Hot,Hot,Hot,Hot
Diana Garcia,diana.garcia1187@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Frank Miller,frank.miller1188@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Jack Taylor,jack.taylor1189@example.com,retail,we are ready to purchase now,Hot,Hot,Hot,Hot
Diana Smith,diana.smith1190@example.com,marketing,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Frank Johnson,frank.johnson1191@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Diana Jones,diana.jones1192@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Alice Smith,alice.smith1193@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Alice Wilson,alice.wilson1194@example.com,marketing,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Ivy Jones,ivy.jones1195@example.com,consulting,please send me the proposal asap,Hot,Hot,Hot,Hot
Diana Johnson,diana.johnson1196@example.com,marketing,maybe later still evaluating options,Warm,Cold,Warm,Warm
Bob Smith,bob.smith1197@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Frank Brown,frank.brown1198@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Grace Taylor,grace.taylor1199@example.com,marketing,i need a quote for our project,Hot,Cold,Hot,Hot
Bob Davis,bob.davis1200@example.com,tech,i need a quote for our project,Hot,Cold,Hot,Hot
Charlie Brown,charlie.brown1201@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Jack Jones,jack.jones1202@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Hank Taylor,hank.taylor1203@example.com,marketing,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Wilson,alice.wilson1204@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Johnson,bob.johnson1205@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Eve Brown,eve.brown1206@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Diana Brown,diana.brown1207@example.com,retail,not looking for services currently,Cold,Warm,Cold,Warm
Bob Davis,bob.davis1208@example.com,finance,looking for information about your services,Warm,Warm,Warm,Warm
Eve Wilson,eve.wilson1209@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Hank Brown,hank.brown1210@example.com,marketing,i am just curious about your offerings,Cold,Cold,Cold,Cold
Ivy Williams,ivy.williams1211@example.com,healthcare,could you send me a brochure,Warm,Cold,Warm,Warm
Bob Brown,bob.brown1212@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Brown,charlie.brown1213@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Bob Brown,bob.brown1214@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
Frank Jones,frank.jones1215@example.com,education,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Charlie Davis,charlie.davis1216@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Jack Williams,jack.williams1217@example.com,tech,looking for information about your services,Warm,Warm,Warm,Warm
Charlie Smith,charlie.smith1218@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Grace Davis,grace.davis1219@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Jack Miller,jack.miller1220@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Jack Taylor,jack.taylor1221@example.com,tech,we are ready to purchase now,Hot,Hot,Hot,Hot
Bob Taylor,bob.taylor1222@example.com,finance,please send me the proposal asap,Hot,Hot,Hot,Hot
Grace Brown,grace.brown1223@example.com,consulting,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Eve Johnson,eve.johnson1224@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Jack Johnson,jack.johnson1225@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
